Section,Url,Content,Metadata
309. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter309-front&num=0&edition=prelim,18 USC Ch. 309: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART III / CHAPTER 309 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 309: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART III-PRISONS AND PRISONERSCHAPTER 309-REPEALED[CHAPTER 309-REPEALED],
"4161. to 4166. Repealed. Pub. L. 98-473, title II, §218(a)(4), Oct. 12, 1984, 98 Stat. 2027",https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section4161&num=0&edition=prelim,"18 USC 4161 to 4166: Repealed. Pub. L. 98-473, title II, §218(a)(4), Oct. 12, 1984, 98 Stat. 2027            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART III / CHAPTER 309 / §§ 4161 to 4166                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC 4161 to 4166: Repealed. Pub. L. 98-473, title II, §218(a)(4), Oct. 12, 1984, 98 Stat. 2027Text contains those laws in effect on September 28, 2024From Title 18-CRIMES AND CRIMINAL PROCEDUREPART III-PRISONS AND PRISONERSCHAPTER 309-REPEALEDJump To: Miscellaneous[§§4161 to 4166. Repealed. Pub. L. 98–473, title II, §218(a)(4), Oct. 12, 1984, 98 Stat. 2027]Section 4161, acts June 25, 1948, ch. 645, 62 Stat. 853; Sept. 14, 1959, Pub. L. 86–259,73 Stat. 546, related to computation of reduction of time of sentence generally.Section 4162, act June 25, 1948, ch. 645, 62 Stat. 853, related to deduction from sentence for industrial good time.Section 4163, acts June 25, 1948, ch. 645, 62 Stat. 853; Sept. 19, 1962, Pub. L. 87–665,76 Stat. 552, related to discharge of prisoner.Section 4164, acts June 25, 1948, ch. 645, 62 Stat. 853; June 29, 1951, ch. 176, 65 Stat. 98, related to released prisoner as parolee.Section 4165, act June 25, 1948, ch. 645, 62 Stat. 854, related to forfeiture of good time for offense.Section 4166, act June 25, 1948, ch. 645, 62 Stat. 854, related to restoration of forfeited commutation.Statutory Notes and Related SubsidiariesEffective Date of RepealRepeal effective Nov. 1, 1987, and applicable only to offenses committed after the taking effect of such repeal, with sections to remain in effect for five years as to an individual who committed an offense or an act of juvenile delinquency before Nov. 1, 1987, and as to a term of imprisonment during the period described in section 235(a)(1)(B) of Pub. L. 98–473, see section 235(a)(1), (b)(1)(B) of Pub. L. 98–473, set out as an Effective Date note under section 3551 of this title.",
