Section,Url,Content,Metadata
217. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter217-front&num=0&edition=prelim,18 USC Ch. 217: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART II / CHAPTER 217 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 217: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART II-CRIMINAL PROCEDURECHAPTER 217-INDICTMENT AND INFORMATIONCHAPTER 217-INDICTMENT AND INFORMATIONSec.3361.Form and contents-Rule.3362.Waiver of indictment and prosecution on information-Rule.3363.Joinder of offenses-Rule.3364.Joinder of defendants-Rule.3365.Amendment of information-Rule.3366.Bill of particulars-Rule.3367.Dismissal-Rule.,
3361. Form and contents-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3361&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureContents and form; striking surplusage, Rule 7(a), (c), (d).(June 25, 1948, ch. 645, 62 Stat. 830.)",
3362. Waiver of indictment and prosecution on information-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3362&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureWaiver of indictment for offenses not punishable by death, Rule 7(b).(June 25, 1948, ch. 645, 62 Stat. 830.)",
3363. Joinder of offenses-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3363&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureJoinder of two or more offenses in same indictment, Rule 8(a).Trial together of indictments or informations, Rule 13.(June 25, 1948, ch. 645, 62 Stat. 830.)",
3364. Joinder of defendants-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3364&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureJoinder of two or more defendants charged in same indictment, Rule 8(b).Relief from prejudicial joinder, Rule 14.(June 25, 1948, ch. 645, 62 Stat. 830.)",
3365. Amendment of information-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3365&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureAmendment of information, time and conditions, Rule 7(e).(June 25, 1948, ch. 645, 62 Stat. 830.)",
3366. Bill of particulars-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3366&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureBill of particulars for cause; motion after arraignment; time; amendment, Rule 7(f).(June 25, 1948, ch. 645, 62 Stat. 830.)",
3367. Dismissal-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3367&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureDismissal filed by Attorney General or United States Attorney, Rule 48.Dismissal on objection to array of grand jury or lack of legal qualification of individual grand juror, Rule 6(b)(2).(June 25, 1948, ch. 645, 62 Stat. 830.)",
