Section,Url,Content,Metadata
57. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter57-front&num=0&edition=prelim,"18 USC Ch. 57: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART I / CHAPTER 57 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 57: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART I-CRIMESCHAPTER 57-LABORJump To: MiscellaneousAmendmentsCHAPTER 57-LABORSec.1231.Transportation of strikebreakers.[1232.Repealed.]        Editorial NotesAmendments1990-Pub. L. 101–647, title XXXV, §3539, Nov. 29, 1990, 104 Stat. 4925, struck out item 1232 ""Enticement of workman from armory or arsenal"".","Amendments1990-Pub. L. 101–647, title XXXV, §3539, Nov. 29, 1990, 104 Stat. 4925, struck out item 1232 ""Enticement of workman from armory or arsenal""."
1231. Transportation of strikebreakers,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1231&num=0&edition=prelim,"Whoever willfully transports in interstate or foreign commerce any person who is employed or is to be employed for the purpose of obstructing or interfering by force or threats with (1) peaceful picketing by employees during any labor controversy affecting wages, hours, or conditions of labor, or (2) the exercise by employees of any of the rights of self-organization or collective bargaining; orWhoever is knowingly transported or travels in interstate or foreign commerce for any of the purposes enumerated in this section-Shall be fined under this title or imprisoned not more than two years, or both.This section shall not apply to common carriers.(June 25, 1948, ch. 645, 62 Stat. 760; May 24, 1949, ch. 139, §30, 63 Stat. 94; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision Notes1948 ActBased on title 18, U.S.C., 1940 ed., §407a (June 24, 1936, ch. 746, 49 Stat. 1899; June 29, 1938, ch. 813, 52 Stat. 1242).Language designating offense as felony was omitted in uniformity with definitive section 1 of this title. (See reviser's note under section 550 of this title.)Words ""and shall, upon conviction"" were omitted as surplusage since punishment cannot be imposed until a conviction is secured.Reference to persons aiding, abetting or causing was omitted as such persons are made principals by section 2 of this title.Changes were made in phraseology and arrangement, but without change of substance.1949 ActThis section [section 30] corrects a typographical error in section 1231 of title 18, U.S.C.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in third par.1949-Act May 24, 1949, substituted ""or travels in"" for ""in or travels"" in second par.","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in third par.1949-Act May 24, 1949, substituted ""or travels in"" for ""in or travels"" in second par."
"1232. Repealed. Aug. 10, 1956, ch. 1041, §53, 70A Stat. 641",https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1232&num=0&edition=prelim,"]Section, act June 25, 1948, ch. 645, 62 Stat. 761, prohibited enticement of workman from armory or arsenal.",
