Section,Url,Content,Metadata
233. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter233-front&num=0&edition=prelim,18 USC Ch. 233: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART II / CHAPTER 233 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 233: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART II-CRIMINAL PROCEDURECHAPTER 233-CONTEMPTSCHAPTER 233-CONTEMPTSSec.3691.Jury trial of criminal contempts.3692.Jury trial for contempt in labor dispute cases.3693.Summary disposition or jury trial; notice-Rule.,
3691. Jury trial of criminal contempts,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3691&num=0&edition=prelim,"Whenever a contempt charged shall consist in willful disobedience of any lawful writ, process, order, rule, decree, or command of any district court of the United States by doing or omitting any act or thing in violation thereof, and the act or thing done or omitted also constitutes a criminal offense under any Act of Congress, or under the laws of any state in which it was done or omitted, the accused, upon demand therefor, shall be entitled to trial by a jury, which shall conform as near as may be to the practice in other criminal cases.This section shall not apply to contempts committed in the presence of the court, or so near thereto as to obstruct the administration of justice, nor to contempts committed in disobedience of any lawful writ, process, order, rule, decree, or command entered in any suit or action brought or prosecuted in the name of, or on behalf of, the United States.(June 25, 1948, ch. 645, 62 Stat. 844.)Historical and Revision NotesBased on sections 386, 389 of title 28, U.S.C., 1940 ed., Judicial Code and Judiciary (Oct. 15, 1914, ch. 323, §§21, 24, 38 Stat. 738, 739).The first paragraph of this section is completely rewritten from section 386 of title 28, U.S.C., 1940 ed., Judicial Code and Judiciary, omitting everything covered and superseded by rules 23 and 42 of the Federal Rules of Criminal Procedure.The second paragraph of this section is derived from section 389 of title 28, U.S.C., 1940 ed., Judicial Code and Judiciary, omitting directions as to the trial of other contempts which are now covered by rule 42 of the Federal Rules of Criminal Procedure.Minor changes were made in phraseology.","Based on sections 386, 389 of title 28, U.S.C., 1940 ed., Judicial Code and Judiciary (Oct. 15, 1914, ch. 323, §§21, 24, 38 Stat. 738, 739).The first paragraph of this section is completely rewritten from section 386 of title 28, U.S.C., 1940 ed., Judicial Code and Judiciary, omitting everything covered and superseded by rules 23 and 42 of the Federal Rules of Criminal Procedure.The second paragraph of this section is derived from section 389 of title 28, U.S.C., 1940 ed., Judicial Code and Judiciary, omitting directions as to the trial of other contempts which are now covered by rule 42 of the Federal Rules of Criminal Procedure.Minor changes were made in phraseology."
3692. Jury trial for contempt in labor dispute cases,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3692&num=0&edition=prelim,"In all cases of contempt arising under the laws of the United States governing the issuance of injunctions or restraining orders in any case involving or growing out of a labor dispute, the accused shall enjoy the right to a speedy and public trial by an impartial jury of the State and district wherein the contempt shall have been committed.This section shall not apply to contempts committed in the presence of the court or so near thereto as to interfere directly with the administration of justice nor to the misbehavior, misconduct, or disobedience of any officer of the court in respect to the writs, orders or process of the court.(June 25, 1948, ch. 645, 62 Stat. 844.)Historical and Revision NotesBased on section 111 of Title 29, U.S.C., 1940 ed., Labor (Mar. 23, 1932, ch. 90, §11, 47 Stat. 72).The phrase ""or the District of Columbia arising under the laws of the United States governing the issuance of injunctions or restraining orders in any case involving or growing out of a labor dispute"" was inserted and the reference to specific sections of the Norris-LaGuardia Act (sections 101–115 of Title 29, U.S.C., 1940 ed.) were eliminated.Statutory Notes and Related SubsidiariesTaft-Hartley InjunctionsFormer section 111 of Title 29, Labor, upon which this section is based, as inapplicable to injunctions issued under the Taft-Hartley Act, see section 178 of Title 29.","Based on section 111 of Title 29, U.S.C., 1940 ed., Labor (Mar. 23, 1932, ch. 90, §11, 47 Stat. 72).The phrase ""or the District of Columbia arising under the laws of the United States governing the issuance of injunctions or restraining orders in any case involving or growing out of a labor dispute"" was inserted and the reference to specific sections of the Norris-LaGuardia Act (sections 101–115 of Title 29, U.S.C., 1940 ed.) were eliminated.Statutory Notes and Related SubsidiariesTaft-Hartley InjunctionsFormer section 111 of Title 29, Labor, upon which this section is based, as inapplicable to injunctions issued under the Taft-Hartley Act, see section 178 of Title 29."
3693. Summary disposition or jury trial; notice-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3693&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureSummary punishment; certificate of judge; order; notice; jury trial; bail; disqualification of judge, Rule 42.(June 25, 1948, ch. 645, 62 Stat. 844.)",
